"","GH","GA","scorer","time","scoring","game","league","covid","cens"
"527",1,0,"Lucas Robertone",70,"Vélez Sarsfield","Vélez Sarsfield v. River Plate 1:0","Argentina","Antes",0
"528",NA,NA,NA,90,NA,"Atlético Tucumán v. Tigre 0:0","Argentina","Antes",0
"529",0,1,"Federico Lértora",47,"Belgrano de Córdoba","Chacarita Juniors v. Belgrano de Córdoba 0:1","Argentina","Antes",1
"530",1,0,"Martín Benítez",24,"Independiente","Independiente v. Banfield 1:0","Argentina","Antes",0
"531",0,1,"Javier Correa",41,"Colón de Santa Fe","Unión de Santa Fe v. Colón de Santa Fe 1:1","Argentina","Antes",1
"533",1,0,"Carlos Tévez",4,"Boca Juniors","Boca Juniors v. San Martín de San Juan 4:2","Argentina","Antes",0
"539",NA,NA,NA,90,NA,"Newell's Old Boys v. Temperley 0:0","Argentina","Antes",0
"540",1,0,"Juan Ramírez",27,"Talleres de Córdoba","Talleres de Córdoba v. Argentinos Juniors 2:0","Argentina","Antes",0
"542",1,0,"Facundo Pereyra",55,"Gimnasia de La Plata","Gimnasia de La Plata v. San Lorenzo 1:0","Argentina","Antes",0
"543",1,0,"Diego Cháves",13,"Arsenal de Sarandí","Arsenal de Sarandí v. Lanús 2:1","Argentina","Antes",0
"546",1,0,"Mauro Guevgeozián",5,"Belgrano de Córdoba","Belgrano de Córdoba v. Patronato de Paraná 2:2","Argentina","Antes",0
"550",NA,NA,NA,90,NA,"Colón de Santa Fe v. Huracán 0:0","Argentina","Antes",0
"551",NA,NA,NA,90,NA,"Tigre v. Talleres de Córdoba 0:0","Argentina","Antes",0
"552",NA,NA,NA,90,NA,"San Lorenzo v. Unión de Santa Fe 0:0","Argentina","Antes",0
"553",0,1,"Juan Garro",15,"Godoy Cruz","Rosario Central v. Godoy Cruz 1:2","Argentina","Antes",1
"556",0,1,"Lorenzo Faravelli",55,"Gimnasia de La Plata","Temperley v. Gimnasia de La Plata 1:1","Argentina","Antes",1
"558",0,1,"Ciro Rius",70,"Defensa y Justicia","Atlético Tucumán v. Defensa y Justicia 0:1","Argentina","Antes",1
"559",1,0,"Darío Cvitanich",45,"Banfield","Banfield v. Newell's Old Boys 1:0","Argentina","Antes",0
"560",1,0,"Ignacio Scocco",44,"River Plate","River Plate v. Chacarita Juniors 1:1","Argentina","Antes",0
"562",1,0,"Lautaro Martínez",5,"Racing Club","Racing Club v. Vélez Sarsfield 2:1","Argentina","Antes",0
"565",0,1,"Martín Benítez",17,"Independiente","San Martín de San Juan v. Independiente 0:4","Argentina","Antes",1
"569",1,0,"Juan Otero",46,"Estudiantes","Estudiantes v. Olimpo de Bahía Blanca 1:0","Argentina","Antes",0
"570",1,0,"Alexis Mac Allister",10,"Argentinos Juniors","Argentinos Juniors v. Boca Juniors 2:0","Argentina","Antes",0
"572",1,0,"Ángel González",63,"Godoy Cruz","Godoy Cruz v. Arsenal de Sarandí 1:0","Argentina","Antes",0
"573",0,1,"Darío Cvitanich",54,"Banfield","Gimnasia de La Plata v. Banfield 0:2","Argentina","Antes",1
"575",0,1,"Rodrigo Aliendro",9,"Atlético Tucumán","Talleres de Córdoba v. Atlético Tucumán 3:1","Argentina","Antes",1
"579",1,0,"Juan Imbert",4,"Chacarita Juniors","Chacarita Juniors v. Racing Club 1:1","Argentina","Antes",0
"581",0,1,"Javier Correa",67,"Colón de Santa Fe","Olimpo de Bahía Blanca v. Colón de Santa Fe 0:3","Argentina","Antes",1
"584",1,0,"Edwin Cardona",74,"Boca Juniors","Boca Juniors v. Tigre 2:1","Argentina","Antes",0
"587",0,1,"Adrián Balboa",90,"River Plate","Patronato de Paraná v. River Plate 0:1","Argentina","Antes",1
"588",NA,NA,NA,90,NA,"Lanús v. Estudiantes 0:0","Argentina","Antes",0
"589",1,0,"Andrés Chávez",44,"Huracán","Huracán v. San Lorenzo 1:1","Argentina","Antes",0
"591",1,0,"Matías Vargas",12,"Vélez Sarsfield","Vélez Sarsfield v. Rosario Central 2:2","Argentina","Antes",0
"595",1,0,"Emmanuel Gigliotti",20,"Independiente","Independiente v. Argentinos Juniors 2:1","Argentina","Antes",0
"598",1,0,"Ciro Rius",75,"Defensa y Justicia","Defensa y Justicia v. Belgrano de Córdoba 1:1","Argentina","Antes",0
"600",1,0,"Franco Soldano",6,"Unión de Santa Fe","Unión de Santa Fe v. Temperley 3:0","Argentina","Antes",0
"603",1,0,"Joaquín Torres",3,"Newell's Old Boys","Newell's Old Boys v. San Martín de San Juan 2:0","Argentina","Antes",0
"605",1,0,"Alfonso Parot",13,"Rosario Central","Rosario Central v. Chacarita Juniors 3:1","Argentina","Antes",0
"609",1,0,"Alan Ruíz",19,"Colón de Santa Fe","Colón de Santa Fe v. Lanús 1:2","Argentina","Antes",0
"612",1,0,"Nicolás González",27,"Argentinos Juniors","Argentinos Juniors v. Newell's Old Boys 1:0","Argentina","Antes",0
"613",0,1,"Andrés Chávez",17,"Huracán","Temperley v. Huracán 1:2","Argentina","Antes",1
"616",1,0,"Nicolás Maná",6,"San Martín de San Juan","San Martín de San Juan v. Gimnasia de La Plata 3:0","Argentina","Antes",0
"619",1,0,"Nahuel Barrios",51,"San Lorenzo","San Lorenzo v. Olimpo de Bahía Blanca 2:0","Argentina","Antes",0
"621",1,0,"Juan Ramírez",29,"Talleres de Córdoba","Talleres de Córdoba v. Defensa y Justicia 1:0","Argentina","Antes",0
"622",1,0,"Leonardo Sigali",26,"Racing Club","Racing Club v. Patronato de Paraná 5:0","Argentina","Antes",0
"627",0,1,"Mauro Zárate",40,"Vélez Sarsfield","Arsenal de Sarandí v. Vélez Sarsfield 1:1","Argentina","Antes",1
"629",0,1,"Pol Fernández",4,"Godoy Cruz","Estudiantes v. Godoy Cruz 0:1","Argentina","Antes",1
"630",1,0,"Javier Toledo",32,"Atlético Tucumán","Atlético Tucumán v. Boca Juniors 1:1","Argentina","Antes",0
"632",1,0,"Gonzalo Martínez",3,"River Plate","River Plate v. Belgrano de Córdoba 3:1","Argentina","Antes",0
"636",0,1,"Bruno Pittón",29,"Unión de Santa Fe","Banfield v. Unión de Santa Fe 0:2","Argentina","Antes",1
"638",0,1,"Silvio Romero",32,"Independiente","Tigre v. Independiente 1:1","Argentina","Antes",1
"640",0,1,"Darío Cvitanich",31,"Banfield","Huracán v. Banfield 1:1","Argentina","Antes",1
"642",1,0,"Juan Musso",28,"Belgrano de Córdoba","Belgrano de Córdoba v. Racing Club 2:2","Argentina","Antes",0
"646",0,1,"Mariano Pavone",13,"Estudiantes","Vélez Sarsfield v. Estudiantes 3:3","Argentina","Antes",1
"652",1,0,"Héctor Fértoli",30,"Newell's Old Boys","Newell's Old Boys v. Tigre 2:1","Argentina","Antes",0
"655",0,1,"Nicolás González",55,"Argentinos Juniors","Gimnasia de La Plata v. Argentinos Juniors 1:3","Argentina","Antes",1
"659",1,0,"Matías Gallegos",83,"Unión de Santa Fe","Unión de Santa Fe v. San Martín de San Juan 1:1","Argentina","Antes",0
"661",0,1,"Guillermo Acosta",54,"Atlético Tucumán","Independiente v. Atlético Tucumán 0:2","Argentina","Antes",1
"663",1,0,"Fernando Márquez",11,"Defensa y Justicia","Defensa y Justicia v. River Plate 1:3","Argentina","Antes",0
"667",1,0,"Germán Ré",41,"Chacarita Juniors","Chacarita Juniors v. Arsenal de Sarandí 2:2","Argentina","Antes",0
"671",1,0,"Matías Garrido",7,"Patronato de Paraná","Patronato de Paraná v. Rosario Central 3:0","Argentina","Antes",0
"674",1,0,"Walter Bou",28,"Boca Juniors","Boca Juniors v. Talleres de Córdoba 2:1","Argentina","Antes",0
"677",0,1,"Nicolás Blandi",43,"San Lorenzo","Lanús v. San Lorenzo 0:2","Argentina","Antes",1
"679",1,0,"Emiliano Tellechea",6,"Olimpo de Bahía Blanca","Olimpo de Bahía Blanca v. Temperley 1:1","Argentina","Antes",0
"681",1,0,"Tomás Cardona",28,"Godoy Cruz","Godoy Cruz v. Colón de Santa Fe 2:1","Argentina","Antes",0
"684",1,0,"Jacobo Mansilla",32,"Tigre","Tigre v. Gimnasia de La Plata 2:0","Argentina","Antes",0
"686",0,1,"Lucas Gamba",18,"Unión de Santa Fe","Argentinos Juniors v. Unión de Santa Fe 3:1","Argentina","Antes",1
"690",1,0,"Fernando Brandán",38,"Temperley","Temperley v. Lanús 2:2","Argentina","Antes",0
"694",1,0,"Óscar Cabezas",36,"Rosario Central","Rosario Central v. Belgrano de Córdoba 2:1","Argentina","Antes",0
"697",1,0,"Jesús Dátolo",11,"Banfield","Banfield v. Olimpo de Bahía Blanca 3:0","Argentina","Antes",0
"700",0,1,"Fernando Márquez",5,"Defensa y Justicia","Boca Juniors v. Defensa y Justicia 1:2","Argentina","Antes",1
"703",0,1,"Matías Caruzzo",9,"Godoy Cruz","San Lorenzo v. Godoy Cruz 0:5","Argentina","Antes",1
"708",0,1,"Nicolás Silva",22,"Huracán","San Martín de San Juan v. Huracán 0:1","Argentina","Antes",1
"709",1,0,"Gervasio Núñez",26,"Atlético Tucumán","Atlético Tucumán v. Newell's Old Boys 1:1","Argentina","Antes",0
"711",0,1,"Gonzalo Verón",23,"Independiente","Talleres de Córdoba v. Independiente 0:2","Argentina","Antes",1
"713",0,1,"Rafael Borré",77,"River Plate","Racing Club v. River Plate 0:2","Argentina","Antes",1
"715",1,0,"Gabriel Alanís",22,"Arsenal de Sarandí","Arsenal de Sarandí v. Patronato de Paraná 1:1","Argentina","Antes",0
"717",0,1,"Mauro Matos",15,"Chacarita Juniors","Estudiantes v. Chacarita Juniors 0:2","Argentina","Antes",1
"719",0,1,"Mauro Zárate",57,"Vélez Sarsfield","Colón de Santa Fe v. Vélez Sarsfield 0:1","Argentina","Antes",1
"720",1,0,"Lorenzo Faravelli",32,"Gimnasia de La Plata","Gimnasia de La Plata v. Atlético Tucumán 1:2","Argentina","Antes",0
"723",1,0,"Israel Damonte",80,"Huracán","Huracán v. Argentinos Juniors 1:0","Argentina","Antes",0
"724",1,0,"Agustin Verdugo",35,"Godoy Cruz","Godoy Cruz v. Temperley 3:0","Argentina","Antes",0
"727",0,1,"Luis Ardente",9,"San Martín de San Juan","Olimpo de Bahía Blanca v. San Martín de San Juan 0:2","Argentina","Antes",1
"729",NA,NA,NA,90,NA,"Lanús v. Banfield 0:0","Argentina","Antes",0
"730",1,0,"Cristian Lema",57,"Belgrano de Córdoba","Belgrano de Córdoba v. Arsenal de Sarandí 3:0","Argentina","Antes",0
"733",1,0,"Fernando Márquez",2,"Defensa y Justicia","Defensa y Justicia v. Racing Club 3:2","Argentina","Antes",0
"738",1,0,"Franco Fragapane",26,"Unión de Santa Fe","Unión de Santa Fe v. Tigre 3:3","Argentina","Antes",0
"744",0,1,"Lucas Rodríguez",30,"Estudiantes","Patronato de Paraná v. Estudiantes 0:1","Argentina","Antes",1
"745",0,1,"Marcelo Estigarribia",19,"Colón de Santa Fe","Chacarita Juniors v. Colón de Santa Fe 0:2","Argentina","Antes",1
"747",1,0,"Rafael Borré",75,"River Plate","River Plate v. Rosario Central 2:0","Argentina","Antes",0
"749",1,0,"Martín Benítez",57,"Independiente","Independiente v. Boca Juniors 1:0","Argentina","Antes",0
"750",1,0,"Víctor Figueroa",3,"Newell's Old Boys","Newell's Old Boys v. Talleres de Córdoba 2:1","Argentina","Antes",0
"753",1,0,"Mauro Zárate",30,"Vélez Sarsfield","Vélez Sarsfield v. San Lorenzo 2:2","Argentina","Antes",0
"757",1,0,"Leonardo Pisculichi",9,"Argentinos Juniors","Argentinos Juniors v. Olimpo de Bahía Blanca 1:0","Argentina","Antes",0
"758",0,1,"Mauro Guevgeozián",63,"Belgrano de Córdoba","Estudiantes v. Belgrano de Córdoba 0:1","Argentina","Antes",1
"759",1,0,"Claudio Spinelli",11,"San Martín de San Juan","San Martín de San Juan v. Lanús 1:1","Argentina","Antes",0
"761",0,1,"Matías Vargas",6,"Vélez Sarsfield","Temperley v. Vélez Sarsfield 2:4","Argentina","Antes",1
"767",1,0,"Aldo Araujo",62,"Talleres de Córdoba","Talleres de Córdoba v. Gimnasia de La Plata 2:0","Argentina","Antes",0
"769",1,0,"Enzo Kalinski",49,"Banfield","Banfield v. Godoy Cruz 1:1","Argentina","Antes",0
"771",1,0,"Nicolás Reniero",26,"San Lorenzo","San Lorenzo v. Chacarita Juniors 1:0","Argentina","Antes",0
"772",0,1,"Nicolás Silva",22,"Huracán","Tigre v. Huracán 0:2","Argentina","Antes",1
"774",0,1,"Brian Mansilla",64,"Racing Club","Rosario Central v. Racing Club 0:2","Argentina","Antes",1
"776",NA,NA,NA,90,NA,"Atlético Tucumán v. Unión de Santa Fe 0:0","Argentina","Antes",0
"777",0,1,"Exequiel Palacios",21,"River Plate","Arsenal de Sarandí v. River Plate 0:3","Argentina","Antes",1
"780",1,0,"Ramón Ábila",27,"Boca Juniors","Boca Juniors v. Newell's Old Boys 3:1","Argentina","Antes",0
"784",1,0,"Javier Correa",8,"Colón de Santa Fe","Colón de Santa Fe v. Patronato de Paraná 4:0","Argentina","Antes",0
"788",0,1,"Mariano Bareiro",57,"Defensa y Justicia","Independiente v. Defensa y Justicia 0:1","Argentina","Antes",1
"789",0,1,"Alexis Delgado",5,"Temperley","Chacarita Juniors v. Temperley 1:2","Argentina","Antes",1
"792",1,0,"Víctorio Ramis",13,"Godoy Cruz","Godoy Cruz v. San Martín de San Juan 2:0","Argentina","Antes",0
"794",1,0,"Tomás Pochettino",9,"Defensa y Justicia","Defensa y Justicia v. Rosario Central 3:1","Argentina","Antes",0
"798",1,0,"Lucas Robertone",76,"Vélez Sarsfield","Vélez Sarsfield v. Banfield 1:0","Argentina","Antes",0
"799",0,1,"Gastón Silva",45,"Independiente","Newell's Old Boys v. Independiente 0:1","Argentina","Antes",1
"800",NA,NA,NA,90,NA,"Lanús v. Argentinos Juniors 0:0","Argentina","Antes",0
"801",1,0,"Ignacio Pussetto",2,"Huracán","Huracán v. Atlético Tucumán 3:2","Argentina","Antes",0
"806",NA,NA,NA,90,NA,"Patronato de Paraná v. San Lorenzo 0:0","Argentina","Antes",0
"807",1,0,"Cristian Lema",45,"Belgrano de Córdoba","Belgrano de Córdoba v. Colón de Santa Fe 1:0","Argentina","Antes",0
"808",1,0,"Jonathan Bottinelli",49,"Unión de Santa Fe","Unión de Santa Fe v. Talleres de Córdoba 3:0","Argentina","Antes",0
"811",0,1,"Javier Iritier",7,"Tigre","Olimpo de Bahía Blanca v. Tigre 1:5","Argentina","Antes",1
"817",1,0,"Lisandro López",58,"Racing Club","Racing Club v. Arsenal de Sarandí 2:0","Argentina","Antes",0
"819",0,1,"Pablo Pérez",13,"Boca Juniors","Gimnasia de La Plata v. Boca Juniors 2:2","Argentina","Antes",1
"823",1,0,"Javier Pinola",11,"River Plate","River Plate v. Estudiantes 2:0","Argentina","Antes",0
"825",0,1,"Lucas Robertone",5,"Vélez Sarsfield","San Martín de San Juan v. Vélez Sarsfield 0:2","Argentina","Antes",1
"827",1,0,"Nicolás Blandi",26,"San Lorenzo","San Lorenzo v. Belgrano de Córdoba 2:0","Argentina","Antes",0
"829",1,0,"Leonardo Pisculichi",10,"Argentinos Juniors","Argentinos Juniors v. Godoy Cruz 1:2","Argentina","Antes",0
"832",1,0,"Paulo Ferrari",32,"Arsenal de Sarandí","Arsenal de Sarandí v. Rosario Central 4:0","Argentina","Antes",0
"836",1,0,"Alexis Rodríguez",23,"Newell's Old Boys","Newell's Old Boys v. Defensa y Justicia 1:0","Argentina","Antes",0
"837",NA,NA,NA,90,NA,"Talleres de Córdoba v. Huracán 0:0","Argentina","Antes",0
"838",1,0,"Leandro Díaz",56,"Atlético Tucumán","Atlético Tucumán v. Olimpo de Bahía Blanca 1:1","Argentina","Antes",0
"840",0,1,"Sebastián Ribas",13,"Patronato de Paraná","Temperley v. Patronato de Paraná 1:2","Argentina","Antes",1
"843",1,0,"Martín Benítez",10,"Independiente","Independiente v. Gimnasia de La Plata 2:2","Argentina","Antes",0
"847",NA,NA,NA,90,NA,"Tigre v. Lanús 0:0","Argentina","Antes",0
"848",1,0,"Ramón Ábila",78,"Boca Juniors","Boca Juniors v. Unión de Santa Fe 2:0","Argentina","Antes",0
"850",0,1,"Lautaro Martínez",17,"Racing Club","Estudiantes v. Racing Club 1:2","Argentina","Antes",1
"853",1,0,"Julián Carranza",25,"Banfield","Banfield v. Chacarita Juniors 2:1","Argentina","Antes",0
"856",NA,NA,NA,90,NA,"Colón de Santa Fe v. River Plate 0:0","Argentina","Antes",0
"857",0,1,"Claudio Spinelli",6,"San Martín de San Juan","Chacarita Juniors v. San Martín de San Juan 1:4","Argentina","Antes",1
"862",NA,NA,NA,90,NA,"Lanús v. Atlético Tucumán 0:0","Argentina","Antes",0
"863",1,0,"Ignacio Pussetto",5,"Huracán","Huracán v. Boca Juniors 3:3","Argentina","Antes",0
"869",NA,NA,NA,90,NA,"Patronato de Paraná v. Banfield 0:0","Argentina","Antes",0
"870",1,0,"Fabian Bordagaray",46,"Defensa y Justicia","Defensa y Justicia v. Arsenal de Sarandí 2:0","Argentina","Antes",0
"872",0,1,"Santiago Silva",38,"Talleres de Córdoba","Olimpo de Bahía Blanca v. Talleres de Córdoba 2:2","Argentina","Antes",1
"876",1,0,"Franco Soldano",46,"Unión de Santa Fe","Unión de Santa Fe v. Independiente 1:0","Argentina","Antes",0
"877",0,1,"Alexis Delgado",24,"Temperley","Belgrano de Córdoba v. Temperley 2:3","Argentina","Antes",1
"882",1,0,"Santiago García",53,"Godoy Cruz","Godoy Cruz v. Tigre 2:0","Argentina","Antes",0
"884",1,0,"Mauro Zárate",22,"Vélez Sarsfield","Vélez Sarsfield v. Argentinos Juniors 1:1","Argentina","Antes",0
"886",1,0,"Marco Rubén",28,"Rosario Central","Rosario Central v. Estudiantes 1:1","Argentina","Antes",0
"888",1,0,"Guillermo Ortiz",2,"Racing Club","Racing Club v. Colón de Santa Fe 1:3","Argentina","Antes",0
"892",1,0,"Ignacio Fernández",54,"River Plate","River Plate v. San Lorenzo 2:0","Argentina","Antes",0
"894",1,0,"Nicolás Ortiz",44,"Gimnasia de La Plata","Gimnasia de La Plata v. Newell's Old Boys 2:0","Argentina","Antes",0
"896",1,0,"Luis Abram",2,"Vélez Sarsfield","Vélez Sarsfield v. Newell's Old Boys 2:0","Argentina","Antes",0
"898",1,0,"Lucas Menossi",5,"Tigre","Tigre v. San Lorenzo 2:2","Argentina","Antes",0
"902",1,0,"Víctor Ayala",1,"Gimnasia de La Plata","Gimnasia de La Plata v. Argentinos Juniors 1:0","Argentina","Antes",0
"903",1,0,"Franco Soldano",79,"Unión de Santa Fe","Unión de Santa Fe v. Aldosivi 1:0","Argentina","Antes",0
"904",NA,NA,NA,90,NA,"Patronato de Paraná v. Colón de Santa Fe 0:0","Argentina","Antes",0
"905",NA,NA,NA,90,NA,"Belgrano de Córdoba v. San Martín de San Juan 0:0","Argentina","Antes",0
"906",1,0,"Cristian Pavón",9,"Boca Juniors","Boca Juniors v. Talleres de Córdoba 1:0","Argentina","Antes",0
"907",1,0,"Diego Viera",90,"Godoy Cruz","Godoy Cruz v. Estudiantes 1:0","Argentina","Antes",0
"908",1,0,"Sebastián Ribas",7,"Lanús","Lanús v. Defensa y Justicia 2:2","Argentina","Antes",0
"912",1,0,"Matías Caruzzo",55,"Rosario Central","Rosario Central v. Banfield 1:0","Argentina","Antes",0
"913",NA,NA,NA,90,NA,"Huracán v. River Plate 0:0","Argentina","Antes",0
"914",0,1,"Lisandro López",28,"Racing Club","Atlético Tucumán v. Racing Club 2:2","Argentina","Antes",1
"918",1,0,"Pablo Hernández",26,"Independiente","Independiente v. San Martín de Tucumán 4:0","Argentina","Antes",0
"923",0,1,"Emmanuel Gigliotti",3,"Independiente","Newell's Old Boys v. Independiente 2:2","Argentina","Antes",1
"927",0,1,"Ricardo Noir",50,"Atlético Tucumán","Defensa y Justicia v. Atlético Tucumán 1:1","Argentina","Antes",1
"929",1,0,"Darío Cvitanich",11,"Banfield","Banfield v. Gimnasia de La Plata 1:0","Argentina","Antes",0
"930",NA,NA,NA,90,NA,"Argentinos Juniors v. Godoy Cruz 0:0","Argentina","Antes",0
"931",NA,NA,NA,90,NA,"River Plate v. Belgrano de Córdoba 0:0","Argentina","Antes",0
"932",1,0,"Martín Bravo",55,"San Martín de San Juan","San Martín de San Juan v. Patronato de Paraná 1:0","Argentina","Antes",0
"933",0,1,"Diego Vera",51,"Tigre","Colón de Santa Fe v. Tigre 2:2","Argentina","Antes",1
"937",0,1,"Diego Mendoza",12,"Huracán","Aldosivi v. Huracán 2:1","Argentina","Antes",1
"940",1,0,"Rubén Botta",26,"San Lorenzo","San Lorenzo v. Lanús 2:2","Argentina","Antes",0
"944",1,0,"Lisandro López",4,"Racing Club","Racing Club v. Vélez Sarsfield 2:0","Argentina","Antes",0
"946",1,0,"Fabián Noguera",59,"Estudiantes","Estudiantes v. Boca Juniors 2:0","Argentina","Antes",0
"948",1,0,"Franco Costa",21,"San Martín de Tucumán","San Martín de Tucumán v. Unión de Santa Fe 1:1","Argentina","Antes",0
"950",0,1,"Pol Fernández",30,"Racing Club","Patronato de Paraná v. Racing Club 0:3","Argentina","Antes",1
"953",1,0,"Adrián Balboa",22,"Belgrano de Córdoba","Belgrano de Córdoba v. Estudiantes 2:1","Argentina","Antes",0
"957",1,0,"Mathías Abero",20,"Atlético Tucumán","Atlético Tucumán v. Colón de Santa Fe 2:1","Argentina","Antes",0
"960",0,1,"Andrés Cubas",69,"Talleres de Córdoba","Gimnasia de La Plata v. Talleres de Córdoba 0:2","Argentina","Antes",1
"962",1,0,"Juan Cavallaro",24,"Tigre","Tigre v. San Martín de San Juan 2:2","Argentina","Antes",0
"966",NA,NA,NA,90,NA,"River Plate v. Argentinos Juniors 0:0","Argentina","Antes",0
"967",0,1,"Darío Cvitanich",78,"Banfield","Vélez Sarsfield v. Banfield 1:1","Argentina","Antes",1
"969",0,1,"Matías Pisano",15,"Aldosivi","Lanús v. Aldosivi 0:1","Argentina","Antes",1
"970",1,0,"Washington Camacho",32,"Rosario Central","Rosario Central v. San Martín de Tucumán 2:0","Argentina","Antes",0
"972",NA,NA,NA,90,NA,"Huracán v. Boca Juniors 0:0","Argentina","Antes",0
"973",1,0,"Santiago García",16,"Godoy Cruz","Godoy Cruz v. Newell's Old Boys 2:1","Argentina","Antes",0
"976",0,1,"Nicolás Reniero",11,"San Lorenzo","Unión de Santa Fe v. San Lorenzo 1:1","Argentina","Antes",1
"978",1,0,"Alexis Mac Allister",18,"Argentinos Juniors","Argentinos Juniors v. Lanús 2:0","Argentina","Antes",0
